Age,Attrition,BusinessTravel,DailyRate,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,OverTime,PerformanceRating,RelationshipSatisfaction,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsWithCurrManager
35,No,Travel_Rarely,1214,1,3,105,2,Male,2,1,Research Scientist,3,Single,No,3,1,3,3,6,4
55,No,Travel_Rarely,111,1,2,106,1,Male,3,3,Sales Executive,4,Married,No,3,4,4,3,1,0
38,No,Non-Travel,573,6,3,107,2,Female,1,2,Research Scientist,4,Divorced,Yes,3,4,3,3,13,9
34,No,Travel_Rarely,1153,1,2,110,1,Male,3,2,Manufacturing Director,2,Married,No,3,3,2,3,5,3
56,No,Travel_Rarely,1400,7,3,112,4,Male,1,3,Manufacturing Director,4,Single,No,3,1,3,2,6,2
23,No,Travel_Rarely,541,2,1,113,3,Male,3,1,Sales Representative,1,Divorced,No,3,3,3,3,0,0
51,No,Travel_Rarely,432,9,4,116,4,Male,3,1,Laboratory Technician,4,Married,No,4,2,4,3,4,3
30,No,Travel_Rarely,288,2,3,117,3,Male,2,2,Healthcare Representative,4,Married,No,3,1,3,3,11,8
46,Yes,Travel_Rarely,669,9,2,118,3,Male,2,3,Sales Executive,4,Single,No,3,4,3,3,9,7
40,No,Travel_Frequently,530,1,4,119,3,Male,2,4,Healthcare Representative,2,Married,No,4,4,3,2,22,11
51,No,Travel_Rarely,632,21,4,120,3,Male,3,2,Sales Executive,4,Single,Yes,4,4,2,1,10,0
30,No,Travel_Rarely,1334,4,2,121,3,Female,2,2,Sales Executive,2,Divorced,Yes,3,2,4,2,11,7
46,No,Travel_Frequently,638,1,3,124,3,Male,2,3,Healthcare Representative,1,Married,Yes,3,3,5,2,10,5
32,No,Travel_Rarely,1093,6,4,125,2,Male,3,2,Sales Executive,3,Single,No,3,1,0,3,11,7
54,No,Travel_Rarely,1217,2,4,126,1,Female,3,3,Research Director,3,Married,No,3,1,5,1,4,3
24,No,Travel_Rarely,1353,3,2,128,1,Female,3,2,Sales Executive,3,Married,No,4,1,2,2,3,2
28,No,Non-Travel,120,4,3,129,2,Male,3,2,Sales Executive,3,Married,No,3,2,3,4,5,4
58,No,Travel_Rarely,682,10,4,131,4,Male,3,4,Sales Executive,3,Single,No,3,3,1,2,37,8
44,No,Non-Travel,489,23,3,132,2,Male,3,2,Laboratory Technician,2,Married,No,3,3,3,4,3,2
37,Yes,Travel_Rarely,807,6,4,133,3,Male,3,1,Human Resources,1,Divorced,Yes,4,4,3,3,3,2
32,No,Travel_Rarely,827,1,1,134,4,Male,3,1,Research Scientist,1,Single,No,3,4,2,3,1,0
20,Yes,Travel_Frequently,871,6,3,137,4,Female,2,1,Laboratory Technician,4,Single,Yes,3,2,5,3,1,0
34,No,Travel_Rarely,665,6,4,138,1,Female,3,2,Research Scientist,3,Single,No,3,3,3,3,16,10
37,No,Non-Travel,1040,2,2,139,3,Male,2,2,Healthcare Representative,4,Divorced,No,3,4,2,4,1,0
59,No,Non-Travel,1420,2,4,140,3,Female,2,5,Manager,4,Married,No,4,4,3,3,3,2
50,No,Travel_Frequently,1115,1,3,141,1,Female,3,5,Research Director,2,Married,Yes,3,1,1,2,8,7
25,Yes,Travel_Rarely,240,5,3,142,3,Male,2,2,Sales Executive,3,Single,Yes,3,4,1,3,6,3
25,No,Travel_Rarely,1280,7,1,143,4,Male,2,1,Research Scientist,4,Married,No,3,3,2,3,2,1
22,No,Travel_Rarely,534,15,3,144,2,Female,3,1,Laboratory Technician,4,Single,No,3,3,5,3,0,0
51,No,Travel_Frequently,1456,1,4,145,1,Female,2,3,Healthcare Representative,1,Single,No,4,3,1,2,13,8
34,Yes,Travel_Frequently,658,7,3,147,1,Male,1,2,Laboratory Technician,3,Single,Yes,4,4,3,3,9,6
54,No,Non-Travel,142,26,3,148,4,Female,4,4,Manager,4,Single,Yes,3,3,3,3,5,4
24,No,Travel_Rarely,1127,18,1,150,2,Male,3,1,Laboratory Technician,3,Married,No,3,3,2,3,5,2
34,No,Travel_Rarely,1031,6,4,151,3,Female,2,2,Research Scientist,2,Divorced,No,3,3,3,3,1,0
37,No,Travel_Rarely,1189,3,3,152,3,Male,3,3,Sales Executive,4,Single,No,3,1,3,3,5,3
34,No,Travel_Rarely,1354,5,3,153,3,Female,2,3,Manager,1,Single,No,3,4,6,3,11,8
36,No,Travel_Frequently,1467,11,2,154,2,Female,3,3,Sales Executive,4,Married,No,3,3,6,3,9,8
36,No,Travel_Rarely,922,3,2,155,1,Female,3,1,Laboratory Technician,4,Divorced,No,4,1,2,3,1,0
43,No,Travel_Frequently,394,26,2,158,3,Male,3,4,Manager,4,Married,Yes,3,4,3,4,25,12
30,No,Travel_Frequently,1312,23,3,159,1,Male,1,1,Research Scientist,3,Divorced,No,4,3,2,2,10,9
33,No,Non-Travel,750,22,2,160,3,Male,3,2,Sales Executive,2,Married,No,3,1,2,4,7,7
56,Yes,Travel_Rarely,441,14,4,161,2,Female,3,1,Research Scientist,2,Married,Yes,3,1,2,3,5,3
51,No,Travel_Rarely,684,6,3,162,1,Male,3,5,Research Director,3,Single,No,3,3,5,3,20,15
31,Yes,Travel_Rarely,249,6,4,163,2,Male,1,2,Sales Executive,3,Married,Yes,3,2,3,2,7,7
26,No,Travel_Rarely,841,6,3,164,3,Female,2,1,Research Scientist,2,Married,No,3,3,3,2,5,3
58,Yes,Travel_Rarely,147,23,4,165,4,Female,3,3,Healthcare Representative,4,Married,No,3,4,3,2,40,6
19,Yes,Travel_Rarely,528,22,1,167,4,Male,3,1,Sales Representative,3,Single,Yes,3,4,2,2,0,0
22,No,Travel_Rarely,594,2,1,169,3,Male,3,1,Laboratory Technician,4,Married,No,3,3,2,3,2,1
49,No,Travel_Rarely,470,20,4,170,3,Female,3,2,Manufacturing Director,1,Married,No,3,3,2,2,15,11
43,No,Travel_Frequently,957,28,3,171,2,Female,4,1,Research Scientist,3,Single,No,3,4,2,3,3,2
50,No,Travel_Frequently,809,12,3,174,3,Female,3,3,Sales Executive,4,Single,No,3,4,3,3,2,1
31,Yes,Travel_Rarely,542,20,3,175,2,Female,1,2,Sales Executive,3,Married,Yes,3,3,2,3,2,2
41,No,Travel_Rarely,802,9,1,176,3,Male,3,3,Sales Executive,3,Divorced,Yes,3,3,2,3,9,7
26,No,Travel_Rarely,1355,25,1,177,3,Female,3,1,Human Resources,3,Married,No,4,4,3,3,8,7
36,No,Travel_Rarely,216,6,2,178,2,Male,3,2,Manufacturing Director,2,Divorced,No,4,4,0,3,3,1
51,Yes,Travel_Frequently,1150,8,4,179,1,Male,1,3,Manufacturing Director,4,Single,No,3,4,2,3,4,3
39,No,Travel_Rarely,1329,4,4,182,4,Female,2,2,Sales Executive,3,Married,No,3,3,1,4,15,9
25,No,Travel_Rarely,959,28,3,183,1,Male,2,2,Sales Executive,3,Married,No,3,4,3,3,2,2
30,No,Travel_Rarely,1240,9,3,184,3,Male,3,2,Human Resources,4,Married,Yes,3,4,2,1,11,7
32,Yes,Travel_Rarely,1033,9,3,190,1,Female,3,1,Laboratory Technician,1,Single,No,4,1,2,4,5,4
45,No,Travel_Rarely,1316,29,3,192,3,Male,3,1,Research Scientist,4,Single,No,3,2,2,2,6,3
38,No,Travel_Rarely,364,3,5,193,4,Female,3,2,Research Scientist,3,Single,Yes,4,2,2,3,3,2
30,No,Travel_Rarely,438,18,3,194,1,Female,3,1,Research Scientist,3,Single,No,3,3,4,2,5,4
32,No,Travel_Frequently,689,9,2,195,4,Male,1,2,Sales Executive,4,Divorced,No,3,4,2,4,8,7
30,No,Travel_Rarely,201,5,3,197,4,Female,3,1,Research Scientist,1,Divorced,No,3,4,3,3,3,2
30,No,Travel_Rarely,1427,2,1,198,2,Male,2,1,Laboratory Technician,4,Single,No,3,4,3,3,5,2
41,No,Travel_Frequently,857,10,3,199,4,Male,2,4,Manager,1,Divorced,No,3,2,2,2,7,7
41,No,Travel_Rarely,933,9,4,200,3,Male,3,1,Laboratory Technician,1,Married,No,4,4,2,3,5,4
19,No,Travel_Rarely,1181,3,1,201,2,Female,3,1,Laboratory Technician,2,Single,No,3,4,3,3,1,0
40,No,Travel_Frequently,1395,26,3,202,2,Female,3,2,Research Scientist,2,Divorced,No,3,1,2,3,20,13
35,No,Travel_Rarely,662,1,5,204,3,Male,3,3,Sales Executive,2,Married,No,3,1,3,3,10,6
53,No,Travel_Rarely,1436,6,2,205,2,Male,3,2,Sales Representative,3,Married,Yes,4,4,3,1,7,5
45,No,Travel_Rarely,194,9,3,206,2,Male,3,2,Laboratory Technician,2,Divorced,No,3,3,2,1,17,15
32,No,Travel_Frequently,967,8,3,207,2,Female,3,3,Sales Executive,4,Single,No,3,4,2,3,9,7
29,No,Non-Travel,1496,1,1,208,4,Male,3,2,Manufacturing Director,3,Married,No,3,1,1,3,10,9
51,No,Travel_Rarely,1169,7,4,211,2,Male,2,2,Manufacturing Director,3,Married,No,3,3,2,3,1,0
58,No,Travel_Rarely,1145,9,3,214,2,Female,2,1,Research Scientist,2,Married,Yes,4,2,3,2,1,0
40,No,Travel_Rarely,630,4,4,215,3,Male,2,3,Sales Executive,4,Married,No,3,1,2,2,12,11
34,No,Travel_Frequently,303,2,4,216,3,Female,3,1,Sales Representative,3,Married,No,3,4,3,3,4,2
22,No,Travel_Rarely,1256,19,1,217,3,Male,3,1,Research Scientist,4,Married,No,4,1,6,3,2,2
27,No,Non-Travel,691,9,3,218,4,Male,3,1,Research Scientist,2,Divorced,No,3,4,1,1,2,2
28,No,Travel_Rarely,440,21,3,221,3,Male,3,1,Research Scientist,4,Married,No,3,3,2,1,5,2
57,No,Travel_Rarely,334,24,2,223,3,Male,4,3,Healthcare Representative,4,Divorced,Yes,3,2,2,1,5,4
27,No,Non-Travel,1450,3,3,224,3,Male,2,1,Research Scientist,3,Divorced,Yes,3,4,2,2,1,1
50,No,Travel_Rarely,1452,11,3,226,3,Female,3,5,Manager,2,Single,No,3,2,5,3,5,4
41,No,Travel_Rarely,465,14,3,227,1,Male,3,1,Research Scientist,3,Divorced,No,3,1,2,3,9,8
30,No,Travel_Rarely,1339,5,3,228,2,Female,3,3,Sales Executive,4,Married,No,3,3,2,3,10,4
38,No,Travel_Rarely,702,1,4,230,1,Female,2,2,Sales Executive,4,Single,No,4,3,2,4,8,7
32,No,Travel_Rarely,120,6,5,231,3,Male,3,1,Research Scientist,3,Single,No,4,1,2,3,5,4
27,No,Travel_Rarely,1157,17,3,233,3,Male,3,1,Research Scientist,2,Married,Yes,3,4,3,2,5,1
19,Yes,Travel_Frequently,602,1,1,235,3,Female,1,1,Sales Representative,1,Single,No,4,1,5,4,0,0
36,No,Travel_Frequently,1480,3,2,238,4,Male,3,1,Laboratory Technician,2,Single,No,3,3,3,2,8,2
30,No,Non-Travel,111,9,3,239,3,Male,3,2,Laboratory Technician,1,Divorced,No,3,3,4,3,12,10
45,No,Travel_Rarely,1268,4,2,240,3,Female,3,2,Sales Executive,1,Divorced,Yes,3,1,3,4,5,3
56,No,Travel_Rarely,713,8,3,241,3,Female,3,1,Research Scientist,1,Divorced,Yes,3,3,3,3,2,2
33,No,Travel_Rarely,134,2,3,242,3,Male,3,1,Research Scientist,4,Single,No,3,1,2,4,3,2
19,Yes,Travel_Rarely,303,2,3,243,2,Male,2,1,Laboratory Technician,4,Single,No,4,3,3,2,1,0
46,No,Travel_Rarely,526,1,2,244,2,Female,3,3,Sales Executive,1,Divorced,No,4,3,2,3,24,7
38,No,Travel_Rarely,1380,9,2,245,3,Female,3,1,Laboratory Technician,4,Single,No,3,3,3,3,2,1
31,No,Travel_Rarely,140,12,1,246,3,Female,3,1,Research Scientist,4,Married,Yes,4,3,0,3,4,2
34,No,Travel_Rarely,629,27,2,247,4,Female,3,1,Research Scientist,2,Single,No,3,4,3,3,3,2
41,Yes,Travel_Rarely,1356,20,2,248,2,Female,3,1,Sales Representative,2,Single,Yes,4,4,5,2,4,2
50,No,Travel_Rarely,328,1,3,249,3,Male,2,1,Laboratory Technician,3,Married,No,3,4,2,2,3,2
53,No,Travel_Rarely,1084,13,2,250,4,Female,4,2,Manufacturing Director,1,Divorced,No,3,3,3,3,4,3
33,No,Travel_Rarely,931,14,3,252,4,Female,3,1,Research Scientist,2,Married,No,3,4,5,3,8,6
40,No,Travel_Rarely,989,4,1,253,4,Female,3,5,Manager,3,Married,No,3,2,2,3,20,9
55,No,Travel_Rarely,692,14,4,254,3,Male,4,5,Research Director,2,Single,No,3,4,3,3,24,15
34,No,Travel_Frequently,1069,2,1,256,4,Male,2,2,Manufacturing Director,3,Married,No,3,3,2,2,10,9
51,No,Travel_Rarely,313,3,3,258,4,Female,3,4,Healthcare Representative,2,Single,No,3,3,6,3,7,0
52,No,Travel_Rarely,699,1,4,259,3,Male,2,5,Manager,3,Married,No,3,1,5,3,33,9
27,No,Travel_Rarely,894,9,3,260,4,Female,3,1,Research Scientist,2,Single,No,3,4,2,2,7,3
35,Yes,Travel_Rarely,556,23,2,261,2,Male,2,2,Manufacturing Director,3,Married,Yes,3,1,1,3,1,1
43,No,Non-Travel,1344,7,3,262,4,Male,4,1,Research Scientist,4,Divorced,No,3,4,3,4,5,2
45,No,Non-Travel,1195,2,2,264,1,Male,2,4,Manager,4,Married,No,4,4,1,3,20,8
37,No,Travel_Rarely,290,21,3,267,2,Male,4,1,Research Scientist,1,Married,Yes,3,1,3,2,8,7
35,No,Travel_Frequently,138,2,3,269,2,Female,3,2,Laboratory Technician,2,Single,No,3,4,5,3,6,2
42,No,Non-Travel,926,21,2,270,3,Female,3,2,Manufacturing Director,3,Divorced,No,3,2,5,3,5,2
38,No,Travel_Rarely,1261,2,4,271,4,Male,3,2,Manufacturing Director,3,Married,No,3,2,3,3,1,0
38,No,Travel_Rarely,1084,29,3,273,4,Male,3,2,Manufacturing Director,4,Married,No,3,1,3,1,7,7
27,No,Travel_Frequently,472,1,1,274,3,Male,2,2,Manufacturing Director,1,Married,No,3,3,1,3,2,0
49,No,Non-Travel,1002,18,4,275,4,Male,3,2,Manufacturing Director,4,Divorced,Yes,3,1,0,3,7,7
34,No,Travel_Frequently,878,10,4,277,4,Male,3,1,Research Scientist,3,Divorced,Yes,3,4,4,4,5,0
40,No,Travel_Rarely,905,19,2,281,3,Male,3,2,Laboratory Technician,4,Married,Yes,3,3,2,4,7,7
38,Yes,Travel_Rarely,1180,29,1,282,2,Male,3,2,Healthcare Representative,1,Married,Yes,3,2,2,3,1,0
29,Yes,Travel_Rarely,121,27,3,283,2,Female,3,3,Sales Executive,4,Married,No,4,4,3,2,10,9
22,No,Travel_Rarely,1136,5,3,284,4,Male,4,1,Research Scientist,2,Divorced,Yes,3,1,2,2,4,2
36,No,Travel_Frequently,635,18,1,286,2,Female,3,1,Laboratory Technician,4,Single,No,3,1,2,3,8,7
40,No,Non-Travel,1151,9,5,287,4,Male,2,2,Healthcare Representative,4,Married,No,3,4,5,1,3,2
46,No,Travel_Rarely,644,1,4,288,4,Male,3,3,Healthcare Representative,1,Divorced,No,3,3,3,3,4,3
32,Yes,Travel_Rarely,1045,4,4,291,4,Male,1,3,Sales Executive,4,Married,No,3,3,2,2,14,8
30,No,Non-Travel,829,1,1,292,3,Male,2,3,Manufacturing Director,3,Single,No,4,3,2,3,11,8
27,No,Travel_Frequently,1242,20,3,293,4,Female,3,2,Sales Executive,3,Single,No,3,4,2,3,7,7
51,No,Travel_Rarely,1469,8,4,296,2,Male,2,3,Research Director,2,Married,No,3,4,5,1,10,7
30,Yes,Travel_Rarely,1005,3,3,297,4,Female,3,1,Research Scientist,1,Single,Yes,3,3,5,3,5,4
41,No,Travel_Rarely,896,6,3,298,4,Female,3,3,Manager,4,Single,Yes,3,3,3,3,1,0
30,Yes,Travel_Frequently,334,26,4,299,3,Female,2,2,Sales Executive,1,Single,No,3,3,5,2,6,1
29,Yes,Travel_Rarely,992,1,3,300,3,Male,3,1,Research Scientist,3,Single,No,3,4,1,2,6,5
45,No,Non-Travel,1052,6,3,302,4,Female,2,3,Sales Executive,4,Single,No,3,4,2,3,19,8
54,No,Travel_Rarely,1147,3,3,303,4,Female,3,2,Sales Executive,1,Married,No,3,4,4,3,6,5
36,No,Travel_Rarely,1396,5,2,304,4,Male,3,2,Laboratory Technician,2,Single,No,3,4,3,4,13,7
33,No,Travel_Rarely,147,4,4,305,3,Female,2,1,Research Scientist,2,Married,No,4,4,3,3,3,1
37,No,Travel_Frequently,663,11,3,306,2,Male,3,3,Research Director,4,Divorced,Yes,3,3,1,3,10,7
38,No,Travel_Rarely,119,3,3,307,1,Male,3,3,Sales Executive,3,Divorced,No,3,3,6,2,16,13
31,No,Non-Travel,979,1,4,308,3,Male,1,2,Manufacturing Director,3,Married,No,3,4,2,3,5,4
59,No,Travel_Rarely,142,3,3,309,3,Male,2,1,Research Scientist,4,Married,No,3,1,6,3,1,0
37,No,Travel_Frequently,319,4,4,311,1,Male,3,1,Sales Representative,4,Divorced,No,3,3,2,3,9,8
29,No,Travel_Frequently,1413,1,1,312,2,Female,3,3,Sales Executive,4,Married,No,3,4,5,3,11,1
35,No,Travel_Frequently,944,1,3,314,3,Female,3,3,Sales Executive,3,Single,No,3,1,3,4,10,8
29,Yes,Travel_Rarely,896,18,1,315,3,Male,2,1,Research Scientist,4,Single,Yes,3,3,3,2,4,1
52,No,Travel_Rarely,1323,2,3,316,3,Female,2,1,Laboratory Technician,4,Single,No,3,2,3,2,2,2
42,No,Travel_Rarely,532,4,2,319,3,Male,3,5,Manager,4,Married,No,3,4,3,3,22,15
59,No,Travel_Rarely,818,6,2,321,2,Male,3,1,Human Resources,3,Married,No,3,4,2,2,2,2
50,No,Travel_Rarely,854,1,4,323,4,Female,3,5,Manager,4,Divorced,No,3,3,3,2,7,6
33,Yes,Travel_Rarely,813,14,3,325,3,Male,3,1,Laboratory Technician,4,Married,Yes,3,3,2,1,5,4
